1. MGI accession id	3. marker symbol	6. Entrez gene id
MGI:95625	Gabrr1	14408
MGI:95626	Gabrr2	14409
MGI:95627	Slc6a1	232333
MGI:95628	Slc6a12	14411
MGI:95629	Slc6a13	14412
MGI:95630	Slc6a11	243616
MGI:95632	Gad1	14415
MGI:95633	Gad1-ps	382407
MGI:95634	Gad2	14417
MGI:95636	Galc	14420
MGI:95637	Gal	14419
MGI:95638	Galt	14430
MGI:95639	Gap43	14432
MGI:95640	Gapdh	14433
MGI:95653	Gapdhs	14447
MGI:95654	Gart	14450
MGI:95655	Gas1	14451
MGI:95657	Gas2	14453
MGI:95659	Gas5	14455
MGI:95660	Gas6	14456
MGI:95661	Gata1	14460
MGI:95662	Gata2	14461
MGI:95663	Gata3	14462
MGI:95664	Gata4	14463
MGI:95665	Gba	14466
MGI:95666	Gbp2b	14468
MGI:95667	Gbx1	231044
MGI:95668	Gbx2	14472
MGI:95669	Gc	14473
MGI:95674	Gcg	14526
MGI:95675	Gch1	14528
MGI:95676	Gcnt1	14537
MGI:95678	Gda	14544
MGI:95679	Gpd1	14555
MGI:95683	Gdf1	14559
MGI:95684	Gdf10	14560
MGI:95686	Gdf3	14562
MGI:95688	Gdf5	14563
MGI:95689	Gdf6	242316
MGI:95690	Gdf7	238057
MGI:95691	Mstn	17700
MGI:95692	Gdf9	14566
MGI:95697	Gfap	14580
MGI:95698	Gfpt1	14583
MGI:95700	Ggct	110175
MGI:95704	Ggta1	14594
MGI:95705	B4galt1	14595
MGI:95706	Ggt1	14598
MGI:95707	Gh	14599
MGI:95708	Ghr	14600
MGI:95709	Ghrh	14601
MGI:95710	Ghrhr	14602
MGI:95712	Gpr83	14608
MGI:95713	Gja1	14609
MGI:95714	Gja3	14611
MGI:95715	Gja4	14612
MGI:95716	Gja5	14613
MGI:95717	Gja6	414089
MGI:95718	Gjc1	14615
MGI:95719	Gjb1	14618
MGI:95720	Gjb2	14619
MGI:95721	Gjb3	14620
MGI:95722	Gjb4	14621
MGI:95723	Gjb5	14622
MGI:95727	Gli1	14632
MGI:95728	Gli2	14633
MGI:95729	Gli3	14634
MGI:95730	Galk1	14635
MGI:95739	Glul	14645
MGI:95740	Glns-ps1	14646
MGI:95742	Glo1	109801
MGI:95745	Hagh	14651
MGI:95747	Glra1	14654
MGI:95748	Glra2	237213
MGI:95749	Glra3	110304
MGI:95750	Glra4	14657
MGI:95751	Glrb	14658
MGI:95752	Gls	14660
MGI:95753	Glud1	14661
MGI:95754	Glud-ps	104277
MGI:95755	Slc2a1	20525
MGI:95757	Slc2a3	20527
MGI:95758	Slc2a4	20528
MGI:95759	Glycam1	14663
MGI:95760	Slc6a9	14664
MGI:95762	Gm2a	14667
MGI:95764	Gnl1	14670
MGI:95766	Gna11	14672
MGI:95767	Gna12	14673
MGI:95768	Gna13	14674
MGI:95769	Gna14	14675
MGI:95770	Gna15	14676
MGI:95771	Gnai1	14677
MGI:95772	Gnai2	14678
MGI:95773	Gnai3	14679
MGI:95774	Gnal	14680
MGI:95775	Gnao1	14681
MGI:95776	Gnaq	14682
MGI:95777	Gnas	14683
MGI:95778	Gnat1	14685
MGI:95779	Gnat2	14686
MGI:95780	Gnaz	14687
MGI:95781	Gnb1	14688
MGI:95784	Gnb2	14693
MGI:95785	Gnb3	14695
MGI:95787	Gng7	14708
MGI:95789	Gnrh1	14714
MGI:95790	Gnrhr	14715
MGI:95791	Got1	14718
MGI:95792	Got2	14719
MGI:95794	Lrp2	14725
MGI:95797	Gpi1	14751
MGI:95801	Grk4	14772
MGI:95802	Gpt	76282
MGI:95804	Gsr	14782
MGI:95805	Grb2	14784
MGI:95806	Aes	14797
MGI:95808	Gria1	14799
MGI:95809	Gria2	14800
MGI:95810	Gria3	53623
MGI:95811	Gria4	14802
MGI:95812	Grid1	14803
MGI:95813	Grid2	14804
MGI:95814	Grik1	14805
MGI:95815	Grik2	14806
MGI:95816	Grik3	14807
MGI:95817	Grik4	110637
MGI:95818	Grik5	14809
MGI:95819	Grin1	14810
MGI:95820	Grin2a	14811
MGI:95821	Grin2b	14812
MGI:95822	Grin2c	14813
MGI:95823	Grin2d	14814
MGI:95824	Nr3c1	14815
MGI:95832	Grn	14824
MGI:95833	Grp	225642
MGI:95834	Pdia3	14827
MGI:95835	Hspa5	14828
MGI:95836	Grpr	14829
MGI:95841	Gsc	14836
MGI:95842	Gsx1	14842
MGI:95843	Gsx2	14843
MGI:95851	Gsn	227753
MGI:95852	Gss	14854
MGI:95856	Gsta3	14859
MGI:95860	Gstm1	14862
MGI:95861	Gstm2	14863
MGI:95862	Gstm4	14865
MGI:95863	Gsta2	14858
MGI:95864	Gstp2	14869
MGI:95865	Gstp1	14870
MGI:95871	Guk1	14923
MGI:95872	Gusb	110006
MGI:95880	Gypa	14934
MGI:95886	H13	14950
MGI:95891	H19	14955
MGI:95893	H1f0	14958
MGI:95895	H2-Aa	14960
MGI:95896	H2-D1	14964
MGI:95900	H2-Ea-ps	100504404
MGI:95901	H2-Eb1	14969
MGI:95902	H2-Eb2	381091
MGI:95904	H2-K1	14972
MGI:95906	H2-K2	630499
MGI:95908	Pfdn6	14976
MGI:95909	Slc39a7	14977
MGI:95911	H2-Ke6	14979
MGI:95913	H2-M1	224756
MGI:95914	H2-M2	14990
MGI:95915	H2-M3	14991
MGI:95916	H2-M4-ps	14992
MGI:95917	H2-M5	240095
MGI:95918	H2-M6-ps	14994
MGI:95921	H2-DMa	14998
MGI:95922	H2-DMb1	14999
MGI:95923	H2-DMb2	15000
MGI:95924	H2-Oa	15001
MGI:95925	H2-Ob	15002
MGI:95926	H2-Pb	108168314
MGI:95928	H2-Q1	15006
MGI:95929	H2-Q10	15007
MGI:95931	H2-Q2	15013
MGI:95932	H2-Q3	625285
